id,umap_x,umap_y,syllable_type
54.0,5.233745,-2.682383,Short
55.0,13.158622,3.8236864,Short
56.0,7.0889354,-5.4083314,Short
57.0,14.240935,5.321942,Short
58.0,15.249416,2.7110453,Flat
59.0,7.7861996,-4.633908,Chevron
60.0,7.568993,-4.6395316,Chevron
61.0,11.644074,-0.39250335,Flat
62.0,5.6946,-5.2376294,Short
63.0,6.504645,-5.0334067,Complex
64.0,4.498566,-3.190036,Chevron
65.0,3.3312242,-2.4680018,Short
66.0,13.721191,5.066337,Short
67.0,13.527371,5.752334,Down
68.0,4.50686,-0.6859215,Chevron
69.0,5.331815,-5.7373586,Complex
70.0,2.6630378,-4.057987,Complex
71.0,3.2883985,-4.472796,Short
72.0,2.9532242,-3.8382905,Complex
73.0,5.2027564,-3.936063,Chevron
1.0,5.3422947,-3.945999,Chevron
2.0,5.39625,-5.565453,Short
3.0,13.6078005,5.258933,Short
4.0,15.150163,2.604259,Flat
5.0,15.538277,2.9254801,Short
6.0,4.7971153,-3.440384,Short
7.0,5.5927615,-5.260788,Complex
8.0,14.183504,3.4476855,Short
9.0,2.6818728,-4.1283684,Chevron
10.0,5.1856003,-2.6377149,Chevron
11.0,5.2228684,-5.6148996,Complex
12.0,5.2632895,-4.018315,Chevron
13.0,7.3911014,-4.5765867,Short
1.0,7.7988935,-4.3807654,Short
2.0,10.4187975,1.1496747,Down
3.0,2.7273948,-1.2169857,Complex
1.0,5.5573435,-5.0599713,Complex
2.0,2.0802894,-3.333057,Complex
3.0,12.929907,4.3652854,Short
4.0,13.027161,4.4850745,Up
5.0,4.2077436,1.5248817,Chevron
6.0,7.2138705,4.776919,Flat
7.0,3.9792469,-1.5970162,Chevron
8.0,2.789239,-3.5996332,Complex
9.0,4.0237827,1.7976444,Frequency_Jump
10.0,3.5405798,-2.8141487,Complex
11.0,3.4034266,-1.9572418,Complex
12.0,12.906242,1.6251789,Down
13.0,12.862334,1.6620408,Short
14.0,4.2334,0.5916014,Frequency_Jump
15.0,4.261452,-2.4067912,Complex
16.0,3.1817834,-2.6193798,Complex
17.0,12.914761,1.595392,Short
18.0,2.1643403,-3.9069765,Short
19.0,6.9557776,-5.7086587,Short
