stem,label,is_problem,event_idx,start_col,end_col,max_probability,mean_probability,n_total_columns,n_broadband_columns,n_tonal_columns,tonal_fraction,max_consecutive_tonal,mean_flatness,min_flatness,median_flatness,std_flatness
2024-09-30_14-36-51_0001080,auto_accept,0,1,2740,2930,0.9993756413459778,0.9444679260253906,190,0,121,0.6368421052631579,58,0.38888483733073564,0.07089975799125471,0.4312964637713019,0.17838710293223273
2024-09-30_14-36-51_0001080,auto_accept,0,2,3040,3210,0.999377429485321,0.9610578384664323,170,0,104,0.611764705882353,58,0.38193980565935276,0.07084488363276381,0.42662175919966405,0.18586509895416994
2024-09-30_14-36-53_0001081,auto_accept,0,0,2230,2630,0.9998470544815063,0.9750491656908175,400,0,273,0.6825,42,0.40393968000324565,0.05180416986875537,0.41550871319617155,0.14086412329171094
2024-09-30_14-36-53_0001081,auto_accept,0,1,2830,3120,0.9998025298118591,0.9620846649010976,290,0,192,0.6620689655172414,104,0.3463586308633131,0.02525870842179466,0.3508014387770998,0.19735227674047764
2024-09-30_14-36-53_0001081,auto_accept,0,2,4460,4600,0.9991989731788635,0.9634432117144267,140,0,63,0.45,47,0.439915992444136,0.10915978843655692,0.5107731223240335,0.15399109466328925
2024-09-30_14-36-53_0001081,auto_accept,0,3,4690,5300,0.9998812675476074,0.9778134395037928,610,0,490,0.8032786885245902,176,0.2688921261450612,0.03376867906774985,0.22708057013831595,0.18075692732153026
2024-09-30_14-36-53_0001081,auto_accept,0,4,5390,5830,0.9999929666519165,0.9770506779352824,440,0,352,0.8,152,0.3010827726002386,0.04519952298211671,0.278314886137897,0.17280217756624003
2024-09-30_14-36-53_0001081,auto_accept,0,5,6140,6250,0.9656690955162048,0.9100586473941803,110,0,34,0.3090909090909091,7,0.5258595120413606,0.3013653346438263,0.5360661252808905,0.062810854752832
2024-09-30_14-36-53_0001081,auto_accept,0,6,6630,6790,0.9980286955833435,0.9463349054841435,160,0,76,0.475,44,0.46214684010583795,0.171131731460804,0.5077928724320975,0.12392770041558604
2024-09-30_14-36-53_0001081,auto_accept,0,7,6930,7210,0.9998703002929688,0.9676929013482456,280,0,192,0.6857142857142857,186,0.31178709134977944,0.03787033042756881,0.2397181279268723,0.1987407640780982
2024-09-30_14-36-53_0001081,auto_accept,0,8,7340,7500,0.9951609969139099,0.8798221367246964,160,0,56,0.35,30,0.5023042902210724,0.13556508026456493,0.5317197416491639,0.11620403904378204
2024-09-30_14-37-13_0001082,auto_accept,0,0,4580,5140,0.9998924732208252,0.945346919068119,560,0,513,0.9160714285714285,291,0.2030662765126867,0.005400984211743409,0.12970002142618664,0.1731177422690546
2024-09-30_14-37-13_0001082,auto_accept,0,1,5190,5630,0.9999735355377197,0.9632766697141859,440,0,357,0.8113636363636364,340,0.20880861972253134,0.006999890853525598,0.09336141669452425,0.2057591938493811
2024-09-30_14-37-13_0001082,auto_accept,0,2,5670,6170,0.999504566192627,0.9511565747214299,500,65,358,0.8229885057471265,172,0.19933906664936993,0.0112150652615925,0.0958798671776655,0.20526525710597865
2024-09-30_14-37-13_0001082,auto_accept,0,3,6260,6620,0.9999656677246094,0.9704685678353181,360,0,305,0.8472222222222222,265,0.19030506648035211,0.0014828378963908514,0.06767584774376406,0.21071903980899212
2024-09-30_14-37-13_0001082,auto_accept,0,4,6650,6890,0.9998226761817932,0.8876860642433166,240,0,151,0.6291666666666667,107,0.3746372978404415,0.02486866339971683,0.4102324436801249,0.18346597228704242
2024-09-30_14-37-13_0001082,auto_accept,0,5,7000,7380,0.999903678894043,0.949078557583002,380,0,309,0.8131578947368421,86,0.27550330003927287,0.013138275534008011,0.24245860693799587,0.19509933150100034
2024-09-30_14-37-13_0001082,auto_accept,0,6,7410,7580,0.9953333735466003,0.8733979033099281,170,24,107,0.7328767123287672,46,0.35585276225394374,0.03259761881753183,0.41654013061402845,0.1764471760469355
2024-09-30_14-37-13_0001082,auto_accept,0,7,7730,7940,0.9526460766792297,0.7529367100108754,210,0,56,0.26666666666666666,13,0.5320304855992636,0.27027646859122006,0.5419073508150949,0.07414722555679072
2024-09-30_14-37-13_0001082,auto_accept,0,8,7960,8100,0.9577652215957642,0.8268058617909749,140,0,36,0.2571428571428571,25,0.5176830396312582,0.11349809088732683,0.5518972005897624,0.11225140706394715
2024-09-30_14-37-13_0001082,auto_accept,0,9,8240,8450,0.896221935749054,0.7425552146001295,210,0,41,0.19523809523809524,21,0.5465506900569316,0.36516079788711686,0.5527697310634813,0.05952653390378931
2024-09-30_14-37-13_0001082,auto_accept,0,10,8490,8860,0.9999395608901978,0.9663164976396059,370,0,290,0.7837837837837838,280,0.21488541498600613,0.006378931155818959,0.11050073344925801,0.2168504085265428
2024-09-30_14-37-13_0001082,auto_accept,0,11,8960,9250,0.9996497631072998,0.9426022420326868,290,0,198,0.6827586206896552,96,0.3246622842862974,0.030134811147330815,0.30571615279228614,0.20035368551220076
2024-09-30_14-37-13_0001082,auto_accept,0,12,9350,9460,0.9102190732955933,0.8494971891244253,110,0,28,0.2545454545454545,9,0.5274529993338352,0.3068609062335129,0.5388333493892302,0.06656022414143635
2024-09-30_14-37-13_0001082,auto_accept,0,13,10380,10720,0.9998050332069397,0.9664219583783831,340,3,292,0.8664688427299704,106,0.31142031893641864,0.028243989284091497,0.3301329073529492,0.16561070769291047
2024-09-30_14-37-13_0001082,auto_accept,0,14,10790,11290,0.999880313873291,0.9794094282038072,500,0,444,0.888,189,0.27706759811643616,0.025860404067528164,0.25182336961386964,0.15584075446374288
2024-09-30_14-37-13_0001082,auto_accept,0,15,11380,11590,0.9744375944137573,0.8540407229553569,210,25,176,0.9513513513513514,52,0.3865015074003585,0.13184795076519984,0.3984687004171952,0.08290900286209746
2024-09-30_14-37-13_0001082,auto_accept,0,16,11800,12210,0.9998121857643127,0.9780585127217429,410,0,324,0.7902439024390244,187,0.2773600716030809,0.03796054060433631,0.22483896405884984,0.18290677960270843
2024-09-30_14-37-18_0001083,auto_accept,0,0,2270,2460,0.993617057800293,0.9056317120790481,190,0,94,0.49473684210526314,38,0.45567486312362865,0.0770356442361706,0.5016799065754609,0.1428918568164916
2024-09-30_14-37-18_0001083,auto_accept,0,1,2540,2800,0.9993118047714233,0.9483858324863292,260,0,145,0.5576923076923077,50,0.4450733332182775,0.09102852578299565,0.47871887366956134,0.13615710257405514
2024-09-30_14-37-18_0001083,auto_accept,0,2,2840,3100,0.9993071556091309,0.9482678064593563,260,0,145,0.5576923076923077,50,0.44504084764810087,0.09102852578299565,0.47870639940888804,0.13613913733122
2024-09-30_14-37-18_0001083,auto_accept,0,3,3140,3440,0.9993071556091309,0.971447067876016,300,0,185,0.6166666666666667,50,0.41857155240105215,0.06676307173542771,0.4498431063492508,0.15148417949693538
2024-09-30_14-37-18_0001083,auto_accept,0,4,3540,3740,0.9419966340065002,0.8405816356341044,200,33,90,0.5389221556886228,26,0.43345283246543753,0.1318380953725865,0.4680907619831554,0.1418517648290097
2024-09-30_14-37-35_0001086,auto_accept,0,0,2330,2630,0.9994804263114929,0.948115675680099,300,0,225,0.75,104,0.2948232177819194,0.022788704394086215,0.24989617834336636,0.20151313806932386
2024-09-30_14-37-35_0001086,auto_accept,0,1,2690,2930,0.9993858337402344,0.9364433777332306,240,0,163,0.6791666666666667,81,0.32595060556821714,0.02279859908130402,0.3225645038128696,0.2043538707064145
2024-09-30_14-37-35_0001086,auto_accept,0,2,2990,3420,0.9995850920677185,0.9482387812300161,430,0,353,0.8209302325581396,271,0.1659461663539746,0.0032639975779316863,0.046097726883839216,0.21306945738907335
2024-09-30_14-37-35_0001086,auto_accept,0,3,3520,4050,0.9993979930877686,0.9605965062423989,530,10,485,0.9326923076923077,141,0.12596024399651568,0.0011807960113685793,0.03913839380373435,0.16876511505825068
2024-09-30_14-37-35_0001086,auto_accept,0,4,4150,4470,0.999996542930603,0.9425665347865133,320,0,274,0.85625,234,0.21827081163881035,0.0026471859608753825,0.1533070561772489,0.19666457673311372
2024-09-30_14-37-35_0001086,auto_accept,0,5,4520,5220,0.9998747110366821,0.9319055835965654,700,42,601,0.9133738601823708,188,0.17394786056809527,0.0012750832537123061,0.07773375816161876,0.18715244417725646
2024-09-30_14-37-35_0001086,auto_accept,0,6,5300,5820,1.0,0.9492168808883091,520,10,451,0.884313725490196,219,0.13096800521113347,0.00043053924694996863,0.0401794491222312,0.18815445826313873
2024-09-30_14-37-35_0001086,auto_accept,0,7,5940,6590,0.9999932050704956,0.9430184576547507,650,30,557,0.8983870967741936,268,0.12785318331411555,0.00021695465706357791,0.04570997413981448,0.18069688446938797
2024-09-30_14-37-35_0001086,auto_accept,0,8,6720,6930,0.9992955923080444,0.927666493437507,210,1,207,0.9904306220095693,96,0.18744738840101105,0.002585262408711221,0.10546694624924849,0.1715956231198835
2024-09-30_14-37-35_0001086,auto_accept,0,9,7020,7680,0.9998788833618164,0.9546599993065222,660,41,576,0.9305331179321487,396,0.09951601810607771,0.0025666292566591383,0.020389495103679798,0.1657910530068634
2024-09-30_14-37-35_0001086,auto_accept,0,10,7770,8300,0.9999861717224121,0.954945456650522,530,6,500,0.9541984732824428,310,0.11658761411020259,0.0011242499298497058,0.02948828418804445,0.16623187316653562
2024-09-30_14-37-35_0001086,auto_accept,0,11,8400,8750,0.9997863173484802,0.9496673991282781,350,0,304,0.8685714285714285,267,0.19785626948574195,0.003131775008391542,0.106253355773665,0.19940937480113305
2024-09-30_14-37-35_0001086,auto_accept,0,12,8790,9070,0.9996676445007324,0.8630945929165544,280,0,230,0.8214285714285714,141,0.24497510882531814,0.002841946820288962,0.15274855797972223,0.2198190859818774
2024-09-30_14-37-35_0001086,auto_accept,0,13,9230,9490,0.999995231628418,0.9410026316289548,260,0,188,0.7230769230769231,181,0.19265768111617124,0.0007881771865094291,0.03666442402729635,0.2474207643307512
2024-09-30_14-37-35_0001086,auto_accept,0,14,9610,10380,0.9994481205940247,0.8942071130642524,770,81,599,0.8693759071117562,172,0.21156760673953984,0.0030953635832022537,0.13178559176579635,0.18920013378469017
2024-09-30_14-37-35_0001086,auto_accept,0,15,10520,10670,0.9962852001190186,0.8819026127457619,150,0,81,0.54,73,0.34000012494084286,0.0035080369616716767,0.48281597436232615,0.2405911504762875
2024-09-30_14-37-35_0001086,auto_accept,0,16,10840,11060,0.9999727010726929,0.9441412544768789,220,0,150,0.6818181818181818,133,0.23009449695863957,0.006036898261698219,0.043934482335453565,0.24977130121084623
2024-09-30_14-37-35_0001086,auto_accept,0,17,11230,11400,0.9997939467430115,0.9110764695538415,170,0,101,0.5941176470588235,94,0.31746756138085475,0.013374857954853773,0.32385600003556086,0.23272761527358438
2024-09-30_14-37-35_0001086,auto_accept,0,18,11500,11670,0.9624584913253784,0.825236996014913,170,88,35,0.4268292682926829,12,0.5014592874720732,0.2712704848852898,0.5237915792728051,0.09329365400347919
2024-09-30_14-37-35_0001086,auto_accept,0,19,11820,12180,0.9997897744178772,0.9573790350475827,360,1,355,0.9888579387186629,276,0.14325056063515906,0.005797336882332716,0.06671002185099872,0.14507268058369513
2024-09-30_14-37-35_0001086,auto_accept,0,20,14300,14680,0.9997510313987732,0.958907873966755,380,0,305,0.8026315789473685,300,0.1832777285923493,0.006469955386916666,0.08686031934705407,0.20557823108418488
2024-09-30_14-37-35_0001086,auto_accept,0,21,14830,15060,0.9997360110282898,0.939184290667375,230,0,164,0.7130434782608696,62,0.3206342808400898,0.027644376029556945,0.29862810845795035,0.19460389869155748
2024-09-30_14-37-35_0001086,auto_accept,0,22,15160,15630,0.9998052716255188,0.9568032622337341,470,5,393,0.8451612903225807,316,0.14185320301089963,0.002828533166278986,0.04175148007830538,0.19833510988766975
2024-09-30_14-37-35_0001086,auto_accept,0,23,15660,15970,0.9981498718261719,0.8115635411813855,310,54,227,0.88671875,33,0.24021076277555642,0.009101174948478572,0.2229742831453953,0.1993390334149071
2024-09-30_14-37-35_0001086,auto_accept,0,24,16060,16450,0.9999701976776123,0.930838268995285,390,17,340,0.9115281501340483,253,0.14567352534444203,0.003976318070181971,0.05546682484189593,0.18117220544061824
2024-09-30_14-37-35_0001086,auto_accept,0,25,16560,16830,0.9999197721481323,0.9137360134295055,270,4,232,0.8721804511278195,168,0.20791654970609205,0.012609982766187211,0.12056072675842167,0.1934436458171499
2024-09-30_14-37-35_0001086,auto_accept,0,26,16910,17280,0.9999960660934448,0.9268157364506471,370,9,301,0.8337950138504155,80,0.21172211823584414,0.009538197075632346,0.108157875439339,0.20232999741837387
2024-09-30_14-37-35_0001086,auto_accept,0,27,17400,17750,0.9966893196105957,0.9144215451346503,350,43,247,0.8045602605863192,34,0.2285311389018474,0.0024418451642734262,0.13856181791887973,0.2062488980408062
2024-09-30_14-37-35_0001086,auto_accept,0,28,17800,18250,0.9996386766433716,0.9235868298489115,450,104,325,0.9393063583815029,117,0.1691568704355374,0.0016230807863602359,0.08803141178214943,0.1766959688703023
2024-09-30_14-37-35_0001086,auto_accept,0,29,18350,18600,0.9998587369918823,0.9518416730257181,250,0,247,0.988,163,0.16527373735641804,0.001195642892231342,0.033780723618991135,0.19021021229229373
2024-09-30_14-37-35_0001086,auto_accept,0,30,18730,19000,0.9996474981307983,0.922822365803378,270,0,255,0.9444444444444444,193,0.17575222253681994,0.004285041557970583,0.08007734098832917,0.17910419436543815
