stem,label,is_problem,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_11-47-34_0000302,auto_accept,0,5,0.002603138469757202,0.2722671528602964,0.9852507374631269,318
2024-09-30_11-48-44_0000304,auto_accept,0,6,0.0005485241365062162,0.2384030890587431,0.9640102827763496,242
2024-09-30_11-49-27_0000314,auto_accept,0,9,0.007008349003396021,0.394806666616818,0.8598484848484849,227
2024-09-30_11-49-29_0000315,auto_accept,0,4,0.01502195841990895,0.34412392605356057,0.8587301587301587,248
2024-09-30_11-49-41_0000316,auto_accept,0,12,0.004522558649157892,0.37151205293927037,0.8326086956521739,284
2024-09-30_11-50-23_0000323,auto_accept,0,25,0.012476538137645835,0.36937075328498514,0.8440860215053764,256
2024-09-30_11-50-28_0000324,auto_accept,0,3,0.031686115940807,0.3487156745653726,0.7166666666666667,158
2024-09-30_11-50-55_0000329,auto_accept,0,5,0.016776132945299373,0.42720517581187467,0.7830769230769231,244
2024-09-30_11-51-37_0000338,auto_accept,0,14,0.009828907865217182,0.3694480407747155,0.826530612244898,240
2024-09-30_11-53-18_0000344,auto_accept,0,9,0.0009430902169929157,0.29722534170173864,0.9733333333333334,201
2024-09-30_11-53-23_0000345,auto_accept,0,1,0.018072084797137615,0.32147807260549754,0.5117647058823529,82
2024-09-30_11-53-35_0000346,auto_accept,0,5,0.036580832139554854,0.40473650098740654,0.7369565217391304,112
2024-09-30_11-54-01_0000348,auto_accept,0,8,0.0005656527691713405,0.28706645459802793,0.9875,587
2024-09-30_11-54-11_0000349,auto_accept,0,13,0.013060174318108847,0.38803205983710803,0.8063492063492064,224
2024-09-30_11-54-36_0000354,auto_accept,0,4,0.0062654086743444875,0.43096903443644013,0.8528225806451613,328
2024-09-30_11-54-39_0000355,auto_accept,0,4,0.09537701757788827,0.4901293711288523,0.573076923076923,61
2024-09-30_11-55-11_0000361,auto_accept,0,4,0.051830534517106244,0.429926198780424,0.7527272727272727,123
2024-09-30_11-56-03_0000371,auto_accept,0,8,0.05989159595603871,0.440695361695313,0.53125,27
2024-09-30_11-57-07_0000377,auto_accept,0,14,0.0003938763504968868,0.28026289004453475,0.943069306930693,331
2024-09-30_11-57-37_0000378,auto_accept,0,10,0.0004132347326993247,0.30334915463378825,0.9337748344370861,309
2024-09-30_11-57-51_0000379,auto_accept,0,6,0.00890117721483629,0.3686780834330252,0.7944444444444444,278
2024-09-30_11-58-35_0000385,auto_accept,0,7,0.0041254170777421766,0.24909852686582612,0.958139534883721,242
2024-09-30_11-58-57_0000386,auto_accept,0,1,0.043176954302733744,0.43626352154319725,0.475,32
2024-09-30_11-59-20_0000389,auto_accept,0,9,0.01729230327194543,0.33441740206375714,0.927710843373494,291
