file,id,label,accepted,score,begin_time_s,end_time_s,call_length_s,principal_freq_hz,low_freq_hz,high_freq_hz,bandwidth_hz,freq_std_dev_hz,slope,sinuosity,mean_power_db,tonality,peak_freq_khz,source_file,wav_stem,det_start_s,det_end_s,det_duration_ms,det_index,det_prob_max,det_prob_mean,det_user_action,det_json_path,match_quality,match_distance_ms,umap_x,umap_y,hdbscan_label,hdbscan_probability
2024-10-05_23-19-22_0004958,2,Cluster_1,1,1,0.6612,0.6678000000000001,0.0066,77.27272727272728,76.13636363636364,77.27272727272728,1.1363636363636402,0.5439926748615576,155.71827904715656,1.1104569499661587,-72.3957036616869,0.2255408919188332,77.27272727272728,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,0.6237866666666667,0.6920533333333333,68.26666666666658,1,0.9988811612129213,0.9040549029322232,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,37.413,-0.33677554,12.100469,0,1.0
2024-10-05_23-19-22_0004958,3,Cluster_13,1,1,1.0035333333333334,1.0635933333333334,0.06006,89.83870967741936,62.74193548387097,90.80645161290325,28.064516129032263,11.118012352474718,510.4137130126588,1.062467428984231,-68.89466953990727,0.2533112762844338,89.83870967741936,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,0.99072,1.0845866666666666,93.86666666666656,2,0.9991570711135864,0.9542397545731586,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,12.813,2.690334,15.345419,3,1.0
2024-10-05_23-19-22_0004958,4,Cluster_10,1,1,1.3741,1.3941899999999998,0.0200899999999999,64.91935483870968,61.29032258064516,68.5483870967742,7.258064516129046,1.766565233317474,281.7964321842041,1.076493071149401,-69.00843793038554,0.2817434718238296,64.91935483870968,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,1.3576533333333334,1.4173866666666666,59.73333333333319,3,0.9988747239112854,0.957220466931661,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,16.447,2.965992,11.377051,2,1.0
2024-10-05_23-19-22_0004958,5,Cluster_21,1,1,1.5392933333333334,1.57556,0.0362666666666666,74.63235294117646,62.5,124.26470588235294,61.76470588235294,11.919379397678426,184.4439013040352,1.5075409731035525,-70.92859368456736,0.2466141304104766,74.63235294117646,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,1.5197866666666666,1.59232,72.53333333333333,4,0.997732639312744,0.939976539876726,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,19.507,2.9649649,16.609766,3,0.9859243921902079
2024-10-05_23-19-22_0004958,6,Cluster_10,1,1,1.69056,1.71168,0.02112,63.63636363636364,61.36363636363637,64.77272727272728,3.4090909090909136,1.193853434681288,178.1497723056162,1.0238905106059542,-69.46738479057102,0.2620398271944263,64.77272727272728,classified_Stats.xlsx,2024-10-05_23-19-22_0004958,1.6733866666666666,1.7416533333333333,68.2666666666667,5,0.9996676445007324,0.934694000903298,,results/batch_3452_sample/detections/2024-10-05_23-19-22_0004958.json,fuzzy,17.173,3.5246403,11.2694435,2,0.9873525225691144
2024-10-05_23-19-25_0004959,1,Cluster_10,1,1,1.00846,1.0531,0.0446399999999997,65.625,62.5,80.20833333333334,17.708333333333343,6.354495052464427,-374.5303389926413,1.0265103889116831,-71.21576948389442,0.2357631103603161,65.625,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,0.99072,1.0717866666666669,81.06666666666662,0,0.9986457228660583,0.9565412938594818,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,17.74,3.4166186,13.595019,3,1.0
2024-10-05_23-19-25_0004959,2,Cluster_10,1,1,1.1620333333333337,1.1867666666666667,0.0247333333333332,62.5,60.35714285714285,67.85714285714286,7.500000000000007,2.1162051763965053,278.2056218713901,1.0456269584502995,-68.2648386021569,0.2689711991810309,63.57142857142857,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,1.14432,1.22112,76.79999999999998,1,0.9999258518218994,0.9541799175111872,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,17.713,3.0469244,11.313124,2,1.0
2024-10-05_23-19-25_0004959,3,Cluster_13,1,1,1.321,1.3735,0.0524999999999999,90.56291390728477,45.860927152317885,92.54966887417218,46.6887417218543,13.99487983292162,684.8289532022011,1.934080782241255,-69.16189521538172,0.2624049454700071,62.74834437086093,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,1.3064533333333332,1.3960533333333334,89.60000000000012,2,0.9988517761230468,0.9635944230989976,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,14.547,3.0858715,15.681011,3,1.0
2024-10-05_23-19-25_0004959,4,Cluster_10,1,1,1.5197666666666665,1.5504866666666666,0.03072,62.5,61.32812499999999,66.015625,4.687500000000007,1.3343036552379752,126.6010599372916,1.039368924292804,-67.26443618028676,0.2956737950593599,64.84375,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,1.50272,1.56672,63.99999999999984,3,0.9996547698974608,0.939230378717184,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,17.047,2.8046246,11.419889,2,1.0
2024-10-05_23-19-25_0004959,5,Cluster_4,1,1,1.71417,1.74574,0.0315700000000001,62.5,57.66129032258065,121.7741935483871,64.11290322580646,13.946966769933702,216.26553028948103,4.506933668479155,-76.28664389519011,0.1957217581978583,61.29032258064516,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,1.6989866666666666,1.75872,59.73333333333342,4,0.998138666152954,0.9453159809112548,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,15.183,4.670332,17.442368,3,1.0
2024-10-05_23-19-25_0004959,6,Cluster_10,1,1,2.4810600000000003,2.50234,0.0212799999999999,70.65217391304347,65.43478260869566,71.95652173913044,6.521739130434781,2.029530274475214,222.79040341599472,1.027907007085137,-76.05905505467335,0.1889521634365366,66.73913043478261,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,2.4669866666666667,2.518186666666667,51.20000000000013,5,0.9914857745170592,0.945428926211137,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,14.073,6.6830254,14.555657,0,0.607220626514224
2024-10-05_23-19-25_0004959,7,Cluster_21,1,1,2.67604,2.6864933333333334,0.0104533333333334,61.36363636363636,46.21212121212121,85.60606060606061,39.3939393939394,8.35861502885914,-753.7510341318541,2.4282822812529723,-77.27037053524283,0.1943244689266693,61.36363636363636,classified_Stats.xlsx,2024-10-05_23-19-25_0004959,2.663253333333333,2.701653333333333,38.39999999999976,6,0.9219314455986024,0.8719776093959808,,results/batch_3452_sample/detections/2024-10-05_23-19-25_0004959.json,fuzzy,12.787,6.031107,16.269495,3,1.0
2024-10-05_23-19-27_0004960,1,Cluster_10,1,1,0.0549333333333333,0.0647333333333333,0.0098,61.36363636363636,59.84848484848485,61.36363636363636,1.5151515151515085,0.4049412756248836,86.41916140720505,1.0132443614896705,-76.32594245865324,0.194941098143802,61.36363636363636,classified_Stats.xlsx,2024-10-05_23-19-27_0004960,0.04352,0.08192,38.400000000000006,0,0.917843222618103,0.8885461330413819,,results/batch_3452_sample/detections/2024-10-05_23-19-27_0004960.json,fuzzy,11.413,7.1217117,14.484033,0,0.607220626514224
2024-10-05_23-19-27_0004960,2,Cluster_1,1,1,1.0190633333333334,1.0386833333333334,0.0196199999999999,78.18181818181819,75.45454545454545,79.54545454545453,4.090909090909079,1.1606061570940844,-67.0043011822711,1.046023729152566,-70.29388147581729,0.2513008066165894,78.18181818181819,classified_Stats.xlsx,2024-10-05_23-19-27_0004960,1.0077866666666666,1.05472,46.93333333333349,1,0.9897598624229432,0.94562961657842,,results/batch_3452_sample/detections/2024-10-05_23-19-27_0004960.json,fuzzy,11.277,-0.8623523,13.194958,0,1.0
