"time_of_day","avg_size","num_recordings","line_thickness"
16.08,1289122,1,1
16.0805555555556,1289122,1,1
16.0811111111111,1289122,1,1
16.0813888888889,2042786,1,1
16.0833333333333,1485730,1,1
16.0841666666667,1289122,2,10
16.0844444444444,1289122,1,1
16.0847222222222,1289122,1,1
16.085,1289122,1,1
16.0852777777778,1321890,1,1
16.0855555555556,1289122,1,1
16.0861111111111,1289122,1,1
16.0863888888889,1747874,1,1
16.0880555555556,1584034,2,10
16.0897222222222,1289122,1,1
16.0902777777778,1289122,1,1
16.0908333333333,1289122,2,10
16.0927777777778,1371042,2,10
16.0933333333333,1289122,1,1
16.0936111111111,1289122,1,1
16.0944444444444,1518498,1,1
16.095,1289122,2,10
16.0955555555556,1289122,1,1
16.0961111111111,1911714,1,1
16.0972222222222,4533154,1,1
16.0975,1878946,1,1
16.0994444444444,1289122,1,1
16.1002777777778,1289122,1,1
16.1008333333333,1289122,1,1
16.1016666666667,1551266,2,10
16.1033333333333,1289122,1,1
16.1041666666667,1289122,1,1
16.1063888888889,1289122,1,1
16.1066666666667,2436002,1,1
16.1077777777778,1289122,1,1
16.1094444444444,1289122,1,1
16.11,1289122,1,1
16.1111111111111,1452962,1,1
16.1122222222222,1289122,1,1
16.1155555555556,1289122,1,1
16.1263888888889,1289122,1,1
16.1297222222222,1289122,1,1
16.1330555555556,1289122,1,1
16.1341666666667,1289122,1,1
16.1363888888889,1289122,1,1
16.1383333333333,1289122,1,1
16.1402777777778,1584034,1,1
16.1416666666667,1289122,1,1
16.1425,1289122,1,1
16.1441666666667,1289122,2,10
16.1463888888889,1289122,1,1
16.1466666666667,1289122,1,1
16.1486111111111,1485730,1,1
16.1497222222222,1289122,1,1
16.15,1289122,1,1
16.1675,1321890,1,1
16.1694444444444,1289122,1,1
16.1730555555556,1289122,1,1
16.1769444444444,1289122,1,1
16.1825,1289122,1,1
16.1833333333333,1289122,1,1
16.1847222222222,1420194,1,1
16.1861111111111,1289122,1,1
16.1880555555556,1289122,1,1
16.1886111111111,1289122,1,1
16.1908333333333,1289122,1,1
16.1938888888889,1289122,1,1
16.1952777777778,1289122,1,1
16.1969444444444,1289122,1,1
16.2055555555556,1289122,1,1
16.2080555555556,1289122,1,1
16.2102777777778,1289122,1,1
16.2147222222222,1289122,1,1
16.2227777777778,1289122,1,1
16.2233333333333,1289122,1,1
16.225,1584034,1,1
16.2275,1289122,1,1
16.2338888888889,1321890,1,1
16.2366666666667,1289122,1,1
16.2375,1289122,1,1
16.2408333333333,1289122,1,1
16.2477777777778,1289122,1,1
16.2591666666667,1289122,1,1
16.3083333333333,1289122,1,1
16.3644444444444,1289122,1,1
16.3833333333333,1289122,1,1
16.3844444444444,1289122,1,1
16.4888888888889,1289122,1,1
16.5175,1289122,1,1
16.5286111111111,1289122,1,1
16.5558333333333,1289122,1,1
16.5691666666667,1321890,1,1
16.5697222222222,1289122,1,1
16.5788888888889,1289122,1,1
16.5816666666667,1289122,1,1
16.5847222222222,1551266,1,1
16.5875,1289122,1,1
16.5944444444444,1289122,1,1
16.5975,1289122,1,1
16.6047222222222,1289122,1,1
16.6052777777778,1289122,1,1
16.6083333333333,1289122,1,1
16.6086111111111,1289122,1,1
16.6091666666667,1452962,1,1
16.6097222222222,1878946,1,1
16.6108333333333,1289122,1,1
16.6116666666667,1289122,1,1
16.6127777777778,1289122,1,1
16.6138888888889,1289122,1,1
16.6222222222222,1289122,1,1
16.6225,1289122,1,1
16.6233333333333,1289122,1,1
16.6244444444444,1289122,1,1
16.6269444444444,1289122,1,1
16.6277777777778,1518498,1,1
16.6305555555556,1289122,1,1
16.6311111111111,1289122,1,1
16.6316666666667,1289122,1,1
16.6327777777778,1289122,1,1
16.6333333333333,1682338,1,1
16.6352777777778,1289122,1,1
16.6436111111111,1289122,1,1
16.6441666666667,1289122,1,1
16.6447222222222,1289122,1,1
16.6541666666667,1289122,1,1
16.6580555555556,1747874,1,1
16.67,1289122,1,1
16.6711111111111,1977250,1,1
16.6725,1289122,1,1
16.6808333333333,1289122,1,1
16.6980555555556,1289122,1,1
16.7002777777778,1289122,1,1
16.7011111111111,1289122,1,1
16.7066666666667,1289122,1,1
16.7077777777778,1289122,1,1
16.7083333333333,1289122,1,1
16.7088888888889,1289122,1,1
16.7091666666667,1289122,1,1
16.7111111111111,1289122,1,1
16.7125,1518498,1,1
16.7147222222222,1289122,1,1
16.7158333333333,1747874,1,1
16.7172222222222,1289122,1,1
16.7177777777778,1289122,1,1
16.7191666666667,1289122,1,1
16.7197222222222,1289122,1,1
16.7216666666667,1289122,1,1
16.7219444444444,1289122,1,1
16.7227777777778,1289122,1,1
16.7233333333333,2567074,1,1
16.7241666666667,1289122,1,1
16.7247222222222,1584034,1,1
16.7255555555556,1289122,1,1
16.7277777777778,1289122,1,1
16.7305555555556,1616802,1,1
16.7327777777778,1289122,1,1
16.7330555555556,1289122,1,1
16.7336111111111,1289122,1,1
16.7344444444444,1420194,1,1
16.7361111111111,1289122,1,1
