

D:\NogaKS21\Documents\Avisoft Bioacoustics\usv_lmt_035\
10/04/24	09:49:52	Monitoring_started
10/04/24	10:17:52	2024-10-04_10-17-52_0000216.wav	2.5 s
10/04/24	10:17:59	2024-10-04_10-17-59_0000217.wav	2.1 s
10/04/24	10:18:14	2024-10-04_10-18-14_0000218.wav	2.9 s
10/04/24	10:18:17	2024-10-04_10-18-17_0000219.wav	2.1 s
10/04/24	10:18:25	2024-10-04_10-18-25_0000220.wav	2.1 s
10/04/24	10:18:27	2024-10-04_10-18-27_0000221.wav	2.1 s
10/04/24	10:18:34	2024-10-04_10-18-34_0000222.wav	2.1 s
10/04/24	10:18:39	2024-10-04_10-18-39_0000223.wav	2.1 s
10/04/24	10:18:43	2024-10-04_10-18-43_0000224.wav	2.1 s
10/04/24	10:18:45	2024-10-04_10-18-45_0000225.wav	2.1 s
10/04/24	10:19:11	2024-10-04_10-19-11_0000226.wav	2.1 s
10/04/24	10:20:15	2024-10-04_10-20-15_0000227.wav	2.1 s
10/04/24	10:20:16	2024-10-04_10-20-16_0000228.wav	3.2 s
10/04/24	10:20:23	2024-10-04_10-20-23_0000229.wav	2.1 s
10/04/24	10:20:24	2024-10-04_10-20-24_0000230.wav	2.1 s
10/04/24	10:20:33	2024-10-04_10-20-33_0000231.wav	2.1 s
10/04/24	10:20:35	2024-10-04_10-20-35_0000232.wav	2.1 s
10/04/24	10:20:40	2024-10-04_10-20-40_0000233.wav	2.1 s
10/04/24	10:20:44	2024-10-04_10-20-44_0000234.wav	2.8 s
10/04/24	10:20:55	2024-10-04_10-20-55_0000235.wav	3.3 s
10/04/24	10:21:02	2024-10-04_10-21-02_0000236.wav	3.1 s
10/04/24	10:21:32	2024-10-04_10-21-32_0000237.wav	2.1 s
10/04/24	10:21:36	2024-10-04_10-21-36_0000238.wav	2.1 s
10/04/24	10:21:39	2024-10-04_10-21-39_0000239.wav	2.1 s
10/04/24	10:21:42	2024-10-04_10-21-42_0000240.wav	2.1 s
10/04/24	10:21:56	2024-10-04_10-21-56_0000241.wav	2.1 s
10/04/24	10:22:14	2024-10-04_10-22-13_0000242.wav	2.1 s
10/04/24	10:22:20	2024-10-04_10-22-20_0000243.wav	2.4 s
10/04/24	10:22:24	2024-10-04_10-22-24_0000244.wav	2.1 s
10/04/24	10:22:26	2024-10-04_10-22-26_0000245.wav	2.1 s
10/04/24	10:22:28	2024-10-04_10-22-28_0000246.wav	2.1 s
10/04/24	10:22:32	2024-10-04_10-22-32_0000247.wav	2.8 s
10/04/24	10:22:35	2024-10-04_10-22-35_0000248.wav	2.1 s
10/04/24	10:22:36	2024-10-04_10-22-36_0000249.wav	2.1 s
10/04/24	10:22:46	2024-10-04_10-22-46_0000250.wav	2.4 s
10/04/24	10:23:27	2024-10-04_10-23-27_0000251.wav	2.1 s
10/04/24	10:23:38	2024-10-04_10-23-38_0000252.wav	2.1 s
10/04/24	10:23:40	2024-10-04_10-23-40_0000253.wav	2.1 s
10/04/24	10:23:42	2024-10-04_10-23-42_0000254.wav	2.1 s
10/04/24	10:23:52	2024-10-04_10-23-52_0000255.wav	2.1 s
10/04/24	10:23:54	2024-10-04_10-23-54_0000256.wav	2.1 s
10/04/24	10:23:56	2024-10-04_10-23-56_0000257.wav	2.7 s
10/04/24	10:24:00	2024-10-04_10-24-00_0000258.wav	2.3 s
10/04/24	10:24:07	2024-10-04_10-24-07_0000259.wav	2.1 s
10/04/24	10:24:17	2024-10-04_10-24-17_0000260.wav	2.1 s
10/04/24	10:24:41	2024-10-04_10-24-41_0000261.wav	2.5 s
10/04/24	10:24:43	2024-10-04_10-24-43_0000262.wav	2.1 s
10/04/24	10:24:45	2024-10-04_10-24-45_0000263.wav	2.1 s
10/04/24	10:24:48	2024-10-04_10-24-48_0000264.wav	2.1 s
10/04/24	10:24:50	2024-10-04_10-24-50_0000265.wav	2.1 s
10/04/24	10:25:02	2024-10-04_10-25-02_0000266.wav	2.1 s
10/04/24	10:25:06	2024-10-04_10-25-06_0000267.wav	2.1 s
10/04/24	10:25:13	2024-10-04_10-25-13_0000268.wav	2.1 s
10/04/24	10:25:15	2024-10-04_10-25-15_0000269.wav	2.1 s
10/04/24	10:25:17	2024-10-04_10-25-17_0000270.wav	2.1 s
10/04/24	10:25:20	2024-10-04_10-25-20_0000271.wav	2.5 s
10/04/24	10:25:23	2024-10-04_10-25-23_0000272.wav	2.5 s
10/04/24	10:25:25	2024-10-04_10-25-25_0000273.wav	2.1 s
10/04/24	10:25:28	2024-10-04_10-25-28_0000274.wav	3.2 s
10/04/24	10:25:31	2024-10-04_10-25-31_0000275.wav	2.3 s
10/04/24	10:25:32	2024-10-04_10-25-32_0000276.wav	2.1 s
10/04/24	10:25:35	2024-10-04_10-25-35_0000277.wav	2.1 s
10/04/24	10:25:36	2024-10-04_10-25-36_0000278.wav	2.4 s
10/04/24	10:25:50	2024-10-04_10-25-50_0000279.wav	2.1 s
10/04/24	10:25:54	2024-10-04_10-25-54_0000280.wav	2.1 s
10/04/24	10:25:55	2024-10-04_10-25-55_0000281.wav	2.1 s
10/04/24	10:26:00	2024-10-04_10-26-00_0000282.wav	2.1 s
10/04/24	10:26:25	2024-10-04_10-26-25_0000283.wav	2.5 s
10/04/24	10:26:28	2024-10-04_10-26-28_0000284.wav	2.7 s
10/04/24	10:26:30	2024-10-04_10-26-30_0000285.wav	2.5 s
10/04/24	10:26:34	2024-10-04_10-26-34_0000286.wav	4.3 s
10/04/24	10:26:37	2024-10-04_10-26-37_0000287.wav	2.1 s
10/04/24	10:26:40	2024-10-04_10-26-40_0000288.wav	2.5 s
10/04/24	10:26:45	2024-10-04_10-26-45_0000289.wav	2.1 s
10/04/24	10:26:48	2024-10-04_10-26-48_0000290.wav	2.1 s
10/04/24	10:26:51	2024-10-04_10-26-51_0000291.wav	2.6 s
10/04/24	10:26:54	2024-10-04_10-26-54_0000292.wav	2.5 s
10/04/24	10:26:55	2024-10-04_10-26-55_0000293.wav	2.1 s
10/04/24	10:26:59	2024-10-04_10-26-59_0000294.wav	2.1 s
10/04/24	10:27:04	2024-10-04_10-27-04_0000295.wav	2.1 s
10/04/24	10:27:05	2024-10-04_10-27-05_0000296.wav	3.2 s
10/04/24	10:27:17	2024-10-04_10-27-17_0000297.wav	2.1 s
10/04/24	10:27:42	2024-10-04_10-27-42_0000298.wav	2.1 s
10/04/24	10:27:45	2024-10-04_10-27-45_0000299.wav	2.1 s
10/04/24	10:27:47	2024-10-04_10-27-47_0000300.wav	2.4 s
10/04/24	10:27:50	2024-10-04_10-27-50_0000301.wav	2.1 s
10/04/24	10:27:53	2024-10-04_10-27-53_0000302.wav	2.7 s
10/04/24	10:27:55	2024-10-04_10-27-55_0000303.wav	2.1 s
10/04/24	10:28:02	2024-10-04_10-28-02_0000304.wav	2.1 s
10/04/24	10:28:18	2024-10-04_10-28-18_0000305.wav	2.1 s
10/04/24	10:28:19	2024-10-04_10-28-19_0000306.wav	2.1 s
10/04/24	10:28:21	2024-10-04_10-28-21_0000307.wav	2.1 s
10/04/24	10:28:25	2024-10-04_10-28-25_0000308.wav	2.1 s
10/04/24	10:28:32	2024-10-04_10-28-32_0000309.wav	2.1 s
10/04/24	10:28:36	2024-10-04_10-28-36_0000310.wav	2.7 s
10/04/24	10:28:48	2024-10-04_10-28-48_0000311.wav	2.1 s
10/04/24	10:29:12	2024-10-04_10-29-12_0000312.wav	2.1 s
10/04/24	10:29:14	2024-10-04_10-29-14_0000313.wav	2.1 s
10/04/24	10:29:39	2024-10-04_10-29-39_0000314.wav	2.5 s
10/04/24	10:30:03	2024-10-04_10-30-03_0000315.wav	2.1 s
10/04/24	10:30:17	2024-10-04_10-30-17_0000316.wav	2.1 s
10/04/24	10:30:53	2024-10-04_10-30-53_0000317.wav	2.1 s
10/04/24	10:31:14	2024-10-04_10-31-14_0000318.wav	2.1 s
10/04/24	10:31:20	2024-10-04_10-31-20_0000319.wav	2.1 s
10/04/24	10:31:32	2024-10-04_10-31-32_0000320.wav	2.1 s
10/04/24	10:31:54	2024-10-04_10-31-54_0000321.wav	2.1 s
10/04/24	10:32:09	2024-10-04_10-32-09_0000322.wav	2.4 s
10/04/24	10:32:11	2024-10-04_10-32-11_0000323.wav	2.3 s
10/04/24	10:32:30	2024-10-04_10-32-30_0000324.wav	2.1 s
10/04/24	10:32:50	2024-10-04_10-32-50_0000325.wav	2.1 s
10/04/24	10:33:07	2024-10-04_10-33-07_0000326.wav	2.2 s
10/04/24	10:33:26	2024-10-04_10-33-26_0000327.wav	2.1 s
10/04/24	10:34:09	2024-10-04_10-34-09_0000328.wav	2.1 s
10/04/24	10:34:35	2024-10-04_10-34-35_0000329.wav	2.1 s
10/04/24	10:35:53	2024-10-04_10-35-53_0000330.wav	2.1 s
10/04/24	10:36:09	2024-10-04_10-36-09_0000331.wav	2.5 s
10/04/24	10:36:18	2024-10-04_10-36-18_0000332.wav	2.1 s
10/04/24	10:36:34	2024-10-04_10-36-34_0000333.wav	2.1 s
10/04/24	10:36:46	2024-10-04_10-36-46_0000334.wav	3.0 s
10/04/24	10:36:49	2024-10-04_10-36-49_0000335.wav	2.1 s
10/04/24	10:36:51	2024-10-04_10-36-51_0000336.wav	2.2 s
10/04/24	10:37:10	2024-10-04_10-37-10_0000337.wav	2.1 s
10/04/24	10:37:12	2024-10-04_10-37-12_0000338.wav	2.3 s
10/04/24	10:37:24	2024-10-04_10-37-24_0000339.wav	2.1 s
10/04/24	10:37:26	2024-10-04_10-37-26_0000340.wav	2.1 s
10/04/24	10:37:51	2024-10-04_10-37-51_0000341.wav	2.1 s
10/04/24	10:37:55	2024-10-04_10-37-55_0000342.wav	3.0 s
10/04/24	10:37:58	2024-10-04_10-37-58_0000343.wav	3.8 s
10/04/24	10:38:11	2024-10-04_10-38-11_0000344.wav	2.1 s
10/04/24	10:38:27	2024-10-04_10-38-27_0000345.wav	2.4 s
10/04/24	10:39:51	2024-10-04_10-39-51_0000346.wav	2.1 s
10/04/24	10:39:57	2024-10-04_10-39-57_0000347.wav	2.1 s
10/04/24	10:40:00	2024-10-04_10-40-00_0000348.wav	2.1 s
10/04/24	10:40:04	2024-10-04_10-40-04_0000349.wav	3.2 s
10/04/24	10:40:09	2024-10-04_10-40-09_0000350.wav	2.1 s
10/04/24	10:40:10	2024-10-04_10-40-10_0000351.wav	2.1 s
10/04/24	10:40:16	2024-10-04_10-40-16_0000352.wav	2.1 s
10/04/24	10:40:25	2024-10-04_10-40-25_0000353.wav	2.1 s
10/04/24	10:40:56	2024-10-04_10-40-56_0000354.wav	2.1 s
10/04/24	10:41:04	2024-10-04_10-41-04_0000355.wav	2.1 s
10/04/24	10:41:16	2024-10-04_10-41-16_0000356.wav	2.1 s
10/04/24	10:43:24	2024-10-04_10-43-24_0000357.wav	2.1 s
10/04/24	10:43:42	2024-10-04_10-43-42_0000358.wav	2.4 s
10/04/24	10:44:26	2024-10-04_10-44-26_0000359.wav	2.8 s
10/04/24	10:44:47	2024-10-04_10-44-47_0000360.wav	2.1 s
10/04/24	10:45:12	2024-10-04_10-45-12_0000361.wav	2.1 s
10/04/24	10:45:16	2024-10-04_10-45-16_0000362.wav	2.1 s
