wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_12-33-18_0000567,2.58286242424242,2.74126242424242,0.1584,36.25,103.125,0.65153706073761
2024-09-30_12-33-18_0000567,2.78071424242424,2.96631424242424,0.1856,34.0625,105,0.671706855297089
2024-09-30_12-33-18_0000567,3.01591424242424,3.20791424242424,0.192,35,102.1875,0.683302760124207
2024-09-30_12-33-18_0000567,3.30976606060606,3.52256606060606,0.2128,49.6875,83.4375,0.63708883523941
2024-09-30_12-33-18_0000567,3.57801787878788,3.67721787878788,0.0992000000000002,35.3125,105,0.640582859516144
2024-09-30_13-15-40_0000757,1.02654444444444,1.06974444444444,0.0431999999999999,57.8125,90.9375,0.744843602180481
2024-09-30_13-15-40_0000757,1.14014444444444,1.21214444444444,0.0720000000000001,61.5625,98.125,0.666114509105682
2024-09-30_13-15-40_0000757,1.25694444444444,1.344615,0.0876705555555557,58.75,99.375,0.653378009796143
2024-09-30_13-15-40_0000757,1.38814444444444,1.463015,0.0748705555555556,58.125,101.5625,0.760324418544769
2024-09-30_13-15-40_0000757,1.568615,1.642215,0.0735999999999999,56.875,74.6875,0.86873197555542
2024-09-30_13-15-40_0000757,1.659815,1.706215,0.0464,47.1875,56.5625,0.544729888439178
2024-09-30_13-45-50_0000899,0.997744444444444,1.05694444444444,0.0591999999999999,64.6875,84.0625,0.688462018966675
2024-09-30_13-45-50_0000899,1.10814444444444,1.18974444444444,0.0815999999999999,36.875,114.6875,0.672989845275879
2024-09-30_13-45-50_0000899,1.23934444444444,1.31134444444444,0.0720000000000001,35.625,112.1875,0.738430082798004
2024-09-30_13-45-50_0000899,1.336615,1.445415,0.1088,39.0625,94.0625,0.720351099967957
2024-09-30_13-45-50_0000899,1.531815,1.659815,0.128,50,87.8125,0.817622065544128
2024-09-30_13-45-50_0000899,1.747815,1.773415,0.0256000000000001,79.375,88.75,0.501930356025696
2024-09-30_13-52-13_0000927,1.01214444444444,1.16414444444444,0.152,54.0625,92.8125,0.56228494644165
2024-09-30_13-52-13_0000927,1.20254444444444,1.394215,0.191670555555556,35,102.8125,0.729626595973969
2024-09-30_13-52-13_0000927,1.442215,1.576615,0.1344,54.0625,93.4375,0.634935200214386
2024-09-30_13-52-13_0000927,1.607015,1.632615,0.0256000000000001,59.6875,69.6875,0.586266279220581
2024-09-30_14-12-43_0000993,1.03950916666667,1.11470916666667,0.0751999999999999,75.9375,97.1875,0.898452818393707
2024-09-30_14-12-43_0000993,1.16270916666667,1.24590916666667,0.0831999999999999,64.375,97.8125,0.704942941665649
2024-09-30_14-12-43_0000993,1.28270916666667,1.37550916666667,0.0928,66.25,97.1875,0.710484981536865
2024-09-30_14-12-43_0000993,1.41846208333333,1.50166208333333,0.0831999999999999,63.75,98.4375,0.687388896942139
2024-09-30_14-12-43_0000993,1.54646208333333,1.64086208333333,0.0944,66.25,96.25,0.846130430698395
2024-09-30_14-12-43_0000993,1.67286208333333,1.75926208333333,0.0864,43.125,96.25,0.635978519916534
2024-09-30_14-12-43_0000993,1.799015,1.861415,0.0624,64.6875,98.125,0.576417565345764
2024-09-30_14-12-43_0000993,1.863015,1.922215,0.0591999999999999,57.8125,65.9375,0.673980176448822
2024-09-30_14-12-43_0000993,1.968615,2.095015,0.1264,33.75,97.1875,0.606691896915436
2024-09-30_14-12-43_0000993,2.095015,2.223015,0.128,42.1875,65.625,0.684711098670959
2024-09-30_14-12-43_0000993,2.30436791666667,2.45316791666667,0.1488,46.875,83.4375,0.79523640871048
2024-09-30_14-12-43_0000993,2.53956791666667,2.56836791666667,0.0287999999999999,72.5,85,0.672855019569397
2024-09-30_15-12-49_0001163,0.7261225,0.7693225,0.0432,72.8125,97.1875,0.570907771587372
2024-09-30_15-12-49_0001163,0.9949225,1.0253225,0.0304,83.125,98.75,0.663526237010956
2024-09-30_15-14-37_0001180,1.76777666666667,1.80617666666667,0.0384,58.75,70.9375,0.671443939208984
2024-09-30_15-14-37_0001180,1.84457666666667,2.00457666666667,0.16,32.8125,90.3125,0.592897057533264
2024-09-30_15-14-37_0001180,2.00457666666667,2.08457666666667,0.0800000000000001,46.5625,61.25,0.73921674489975
2024-09-30_15-14-37_0001180,2.13692,2.22812,0.0911999999999997,33.4375,103.125,0.677363574504852
2024-09-30_15-14-37_0001180,2.30332,2.39132,0.0880000000000001,34.0625,99.375,0.837847113609314
2024-09-30_15-14-37_0001180,2.49646333333333,2.53166333333333,0.0352000000000001,47.1875,56.25,0.617709696292877
2024-09-30_15-14-37_0001180,2.58926333333333,2.78606333333333,0.1968,31.875,90.3125,0.671375572681427
2024-09-30_15-14-37_0001180,2.86286333333333,2.90126333333333,0.0384000000000002,62.5,72.5,0.678971767425537
2024-09-30_16-03-58_0001363,1.01330523809524,1.07410523809524,0.0608,65.3125,97.1875,0.560676038265228
2024-09-30_16-03-58_0001363,1.11090523809524,1.17170523809524,0.0608,65.625,94.0625,0.752582132816315
2024-09-30_16-03-58_0001363,1.23890523809524,1.32050523809524,0.0815999999999999,66.25,94.375,0.843433201313019
2024-09-30_16-03-58_0001363,1.39570523809524,1.44370523809524,0.048,40.9375,110.625,0.626818060874939
2024-09-30_16-03-58_0001363,1.45355619047619,1.64715619047619,0.1936,43.4375,68.125,0.632647633552551
2024-09-30_16-03-58_0001363,1.74635619047619,1.91940714285714,0.173050952380953,46.25,87.8125,0.685953974723816
2024-09-30_16-03-58_0001363,1.96420714285714,2.03620714285714,0.0719999999999998,58.75,84.6875,0.602785408496857
2024-09-30_16-03-58_0001363,2.09700714285714,2.16740714285714,0.0703999999999998,61.875,79.6875,0.816785991191864
2024-09-30_16-42-24_0001505,1.03116,1.43831666666667,0.407156666666667,26.5625,109.6875,0.661559581756592
2024-10-01_15-29-58_0005323,1.11944166666667,1.14984166666667,0.0304,74.6875,87.8125,0.525427043437958
2024-10-01_16-55-33_0005556,1.00088619047619,1.05848619047619,0.0576000000000001,75.625,109.0625,0.721907436847687
