id,umap_x,umap_y,syllable_type
1.0,2.791648,6.3222194,Short
2.0,5.60941,8.960781,Flat
3.0,4.2173185,9.053159,Flat
4.0,6.164224,7.0315247,Up
5.0,1.9200056,4.8253517,Short
6.0,13.139106,9.4590645,Frequency_Jump
7.0,2.7505417,6.618494,Short
1.0,11.713559,10.239616,Chevron
2.0,3.4167476,3.8142772,Flat
3.0,1.2729822,3.7604015,Short
4.0,2.0833843,4.872205,Short
1.0,12.106814,9.639246,Up
2.0,2.4225888,3.2610905,Short
1.0,1.4246593,4.256237,Short
2.0,4.985983,6.5707684,Up
3.0,2.0060575,5.236514,Short
4.0,2.0758545,5.277641,Short
5.0,3.6880598,6.409896,Short
6.0,5.6544824,6.7699127,Up
7.0,6.1209035,6.973993,Up
8.0,6.2281528,6.9781575,Up
9.0,6.0188646,6.97521,Up
10.0,2.4064236,4.0063915,Short
11.0,6.064281,7.114902,Up
12.0,6.316492,7.4972305,Chevron
13.0,5.988018,7.1311364,Up
14.0,4.783947,6.8656077,Flat
1.0,4.1555653,9.061689,Short
2.0,12.038279,7.609174,Short
3.0,11.999144,7.6752214,Short
1.0,4.286147,9.084576,Flat
1.0,2.5040092,3.3314435,Short
2.0,5.175273,9.462545,Flat
1.0,3.539099,3.8742058,Flat
2.0,5.6418705,7.8879795,Down
3.0,6.0293803,7.121994,Up
4.0,5.900109,7.2819395,Up
5.0,4.254628,6.619013,Flat
6.0,4.84682,7.337749,Flat
1.0,2.9055965,5.9928055,Flat
2.0,4.504851,9.178544,Flat
3.0,4.874716,7.0670033,Flat
1.0,12.0683365,10.156221,Chevron
1.0,3.4546356,3.769592,Flat
2.0,3.5591054,7.1690183,Flat
3.0,6.433465,7.4934664,Chevron
4.0,6.845883,7.0825543,Short
1.0,4.139964,6.765635,Flat
2.0,14.211518,8.910811,Complex
3.0,13.736589,8.765964,Complex
1.0,4.659643,6.9780087,Up
1.0,2.6675131,5.5301275,Short
2.0,2.749593,5.7772436,Short
3.0,11.517434,10.4152355,Chevron
4.0,3.7128468,7.132203,Flat
1.0,12.439048,10.447103,Complex
2.0,10.511468,7.8462105,Chevron
1.0,3.7483187,7.0881534,Up
2.0,3.4566302,6.703285,Short
3.0,5.022101,6.82105,Up
4.0,11.768042,10.577513,Short
5.0,2.7161264,4.4064164,Short
1.0,2.8509114,5.814071,Short
1.0,0.98735553,4.031893,Flat
1.0,13.412017,9.566111,Chevron
2.0,1.9710422,4.624187,Short
3.0,14.507343,8.692288,Complex
4.0,12.225345,8.627512,Chevron
5.0,13.033506,8.703588,Short
6.0,12.886959,9.532773,Chevron
7.0,11.788246,8.504808,Chevron
8.0,2.2699432,4.3257546,Short
1.0,14.570898,9.513131,Complex
1.0,3.9253876,7.584184,Short
2.0,0.8661465,4.3399982,Flat
1.0,0.9189184,4.4132795,Flat
2.0,3.0412083,5.753409,Short
3.0,14.710977,9.232288,Complex
1.0,14.769392,9.792201,Chevron
2.0,5.189808,8.667515,Flat
3.0,13.306996,7.772299,Short
1.0,13.214341,8.139727,Chevron
1.0,13.613425,9.405444,Complex
1.0,13.951959,9.944201,Complex
1.0,2.58422,6.673064,Short
1.0,2.0620124,3.3098888,Down
2.0,13.490913,8.098244,Complex
3.0,13.147463,9.249645,Chevron
4.0,5.475783,6.6797433,Up
5.0,3.99527,8.554458,Short
6.0,5.260458,7.396816,Down
7.0,11.69313,8.489269,Chevron
1.0,14.730469,9.829936,Complex
1.0,14.688051,8.759293,Complex
1.0,13.903528,9.828345,Chevron
2.0,12.615058,10.017254,Chevron
1.0,11.927696,9.995059,Up
2.0,1.4589498,4.729638,Short
1.0,3.2372882,7.0649557,Down
2.0,13.215823,7.2100635,Short
1.0,3.2576168,3.9632702,Short
2.0,6.678879,7.1834054,Down
3.0,6.613013,7.169916,Down
4.0,2.5083597,4.2373233,Short
1.0,2.57419,4.1797523,Short
2.0,2.6041002,6.676276,Short
3.0,13.460044,7.7637672,Chevron
1.0,12.628845,9.475304,Frequency_Jump
1.0,2.4981003,6.702514,Short
1.0,13.779748,7.574747,Complex
1.0,13.4303665,5.4557137,Flat
1.0,14.757377,9.766584,Short
2.0,14.838329,9.819065,Short
1.0,13.540499,8.143815,Complex
1.0,13.915834,8.687131,Complex
2.0,14.543808,8.634005,Complex
1.0,14.478545,9.750283,Complex
1.0,13.802832,7.697602,Short
1.0,12.67614,10.3043,Chevron
1.0,14.760857,6.576901,Complex
1.0,14.659025,9.505957,Complex
1.0,12.615751,5.281784,Short
1.0,13.880308,8.889237,Complex
1.0,2.7571492,5.811601,Short
1.0,12.623343,7.5084696,Frequency_Jump
1.0,11.40295,10.562976,Short
1.0,11.460244,10.254378,Chevron
1.0,3.2976084,6.6407123,Short
2.0,3.5500352,6.672163,Short
1.0,12.268433,8.540412,Short
1.0,2.2580972,5.3656383,Short
2.0,12.259099,10.06685,Short
3.0,3.2103667,5.6155005,Short
1.0,5.9422455,6.884951,Up
1.0,11.739283,10.671741,Short
2.0,4.8320107,7.313429,Up
3.0,2.1973174,4.699707,Short
4.0,1.1135038,3.9345489,Flat
1.0,14.030637,8.716461,Complex
1.0,14.786478,9.676705,Complex
1.0,13.553622,9.294728,Complex
1.0,2.333185,3.2700708,Short
1.0,14.022876,6.6672506,Chevron
1.0,12.6051855,5.3319807,Short
