stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-10-07_00-20-22_0001985,0,1.01632,1.0504533333333332,0.03413333333333335,0.9169521331787109,0.858165529039171,80,2330,2410
2024-10-07_00-21-56_0001986,0,0.9864533333333333,1.02912,0.04266666666666674,0.925324022769928,0.825095767324621,100,2260,2360
2024-10-07_00-23-32_0001993,0,1.02912,1.06752,0.03839999999999999,0.8970643877983093,0.8473534762859345,90,2360,2450
2024-10-07_01-02-37_0002126,0,0.9992533333333333,1.0376533333333333,0.03839999999999999,0.9292920827865601,0.8777819991111755,90,2290,2380
2024-10-07_01-03-00_0002128,0,0.97792,1.0248533333333334,0.04693333333333338,0.9074433445930481,0.756960945824782,110,2240,2350
2024-10-07_01-07-03_0002138,0,0.97792,1.01632,0.03839999999999988,0.8820956349372864,0.8055564492940903,90,2240,2330
2024-10-07_01-39-09_0002265,0,0.99072,1.0461866666666666,0.05546666666666655,0.9297213554382324,0.7646043917962483,130,2270,2400
2024-10-07_02-05-03_0002311,0,1.4472533333333333,1.48992,0.04266666666666663,0.9465842843055725,0.8407227071848783,100,3340,3440
2024-10-07_02-12-59_0002337,0,0.23978666666666668,0.2952533333333333,0.055466666666666636,0.9792486429214478,0.8562444852931159,130,510,640
2024-10-07_02-20-35_0002358,0,0.9821866666666667,1.01632,0.03413333333333324,0.9626805782318115,0.9323972000016106,80,2250,2330
2024-10-07_02-27-27_0002372,0,0.82432,0.8541866666666666,0.029866666666666597,0.854038417339325,0.8120738118886948,70,1880,1950
2024-10-07_02-31-29_0002381,0,2.2408533333333334,2.287786666666667,0.04693333333333349,0.9501880407333374,0.8550192266702652,110,5200,5310
2024-10-07_02-31-31_0002382,0,0.21845333333333333,0.26538666666666666,0.04693333333333333,0.9555865526199341,0.8792261332273483,110,460,570
2024-10-07_02-32-02_0002386,0,1.14432,1.1784533333333334,0.03413333333333335,0.8688676953315735,0.8273947702513801,80,2630,2710
2024-10-07_02-32-02_0002386,1,1.27232,1.3064533333333332,0.03413333333333335,0.8690829873085022,0.8279060655170016,80,2930,3010
2024-10-07_02-32-02_0002386,2,1.40032,1.4344533333333334,0.03413333333333335,0.8690394759178162,0.8279174102677239,80,3230,3310
2024-10-07_02-32-02_0002386,3,1.52832,1.5624533333333332,0.03413333333333335,0.8690394759178162,0.8279174102677239,80,3530,3610
2024-10-07_02-32-02_0002386,4,1.65632,1.6904533333333334,0.03413333333333335,0.8690394759178162,0.8279174102677239,80,3830,3910
2024-10-07_02-32-02_0002386,5,1.78432,1.8184533333333333,0.03413333333333335,0.8690249919891357,0.8274713291062249,80,4130,4210
2024-10-07_02-32-02_0002386,6,1.91232,1.9464533333333334,0.03413333333333335,0.869196891784668,0.8276779055595398,80,4430,4510
2024-10-07_02-32-02_0002386,7,2.04032,2.0744533333333335,0.03413333333333357,0.8688451051712036,0.8271314104398092,80,4730,4810
